datetime,hard_xray_hel1os,soft_xray_solexs,hel_slope,sol_slope,sol_rolling_mean_5min,hel_rolling_std_5min
2026-06-13 00:04:00,3.0,7.866666666666666,-2.0,0.6499999999999995,7.64103448275862,1.2823589374447564
2026-06-13 00:05:00,5.333333333333333,6.933333333333334,2.333333333333333,-0.9333333333333327,7.496666666666667,1.2823589374447564
2026-06-13 00:06:00,3.0,6.966666666666667,-2.333333333333333,0.033333333333333215,7.276666666666666,1.1055415967851332
2026-06-13 00:07:00,4.333333333333333,7.1,1.333333333333333,0.13333333333333286,7.216666666666667,1.0954451150103321
2026-06-13 00:08:00,5.0,7.95,0.666666666666667,0.8500000000000005,7.363333333333332,1.0954451150103321
2026-06-13 00:09:00,2.333333333333333,7.7,-2.666666666666667,-0.25,7.33,1.2909944487358056
2026-06-13 00:10:00,2.333333333333333,6.833333333333333,0.0,-0.8666666666666671,7.31,1.2110601416389963
2026-06-13 00:11:00,3.0,7.55,0.666666666666667,0.7166666666666668,7.426666666666667,1.2110601416389963
2026-06-13 00:12:00,3.333333333333333,7.533333333333333,0.33333333333333304,-0.016666666666666607,7.513333333333333,1.095445115010332
2026-06-13 00:13:00,4.333333333333333,7.066666666666666,1.0,-0.4666666666666668,7.336666666666666,0.8299933065325814
2026-06-13 00:14:00,1.6666666666666667,6.35,-2.666666666666666,-0.7166666666666668,7.066666666666667,1.0110500592068727
2026-06-13 00:15:00,2.6666666666666665,6.933333333333334,0.9999999999999998,0.5833333333333339,7.086666666666666,0.9718253158075494
2026-06-13 00:16:00,2.333333333333333,7.083333333333333,-0.3333333333333335,0.14999999999999947,6.993333333333334,1.0165300454651263
2026-06-13 00:17:00,3.6666666666666665,6.25,1.3333333333333335,-0.833333333333333,6.736666666666666,1.0645812948447535
2026-06-13 00:18:00,2.0,6.05,-1.6666666666666665,-0.20000000000000018,6.533333333333333,0.767390962214755
2026-06-13 00:19:00,3.333333333333333,5.083333333333333,1.333333333333333,-0.9666666666666668,6.279999999999999,0.69121471177759
2026-06-13 00:20:00,4.0,5.966666666666667,0.666666666666667,0.8833333333333337,6.086666666666667,0.8628119403696519
2026-06-13 00:21:00,2.333333333333333,5.583333333333333,-1.666666666666667,-0.38333333333333375,5.786666666666667,0.8628119403696519
2026-06-13 00:22:00,3.6666666666666665,5.816666666666666,1.3333333333333335,0.2333333333333334,5.699999999999999,0.8628119403696519
2026-06-13 00:23:00,3.333333333333333,5.266666666666667,-0.3333333333333335,-0.5499999999999998,5.543333333333334,0.6236095644623234
