datetime,hard_xray_hel1os,soft_xray_solexs
2026-06-13 00:00:00,5.333333333333333,7.655172413793103
2026-06-13 00:01:00,2.3333333333333335,8.066666666666666
2026-06-13 00:02:00,3.6666666666666665,7.4
2026-06-13 00:03:00,5.0,7.216666666666667
2026-06-13 00:04:00,3.0,7.866666666666666
2026-06-13 00:05:00,5.333333333333333,6.933333333333334
2026-06-13 00:06:00,3.0,6.966666666666667
2026-06-13 00:07:00,4.333333333333333,7.1
2026-06-13 00:08:00,5.0,7.95
2026-06-13 00:09:00,2.3333333333333335,7.7
2026-06-13 00:10:00,2.3333333333333335,6.833333333333333
2026-06-13 00:11:00,3.0,7.55
2026-06-13 00:12:00,3.3333333333333335,7.533333333333333
2026-06-13 00:13:00,4.333333333333333,7.066666666666666
2026-06-13 00:14:00,1.6666666666666667,6.35
2026-06-13 00:15:00,2.6666666666666665,6.933333333333334
2026-06-13 00:16:00,2.3333333333333335,7.083333333333333
2026-06-13 00:17:00,3.6666666666666665,6.25
2026-06-13 00:18:00,2.0,6.05
2026-06-13 00:19:00,3.3333333333333335,5.083333333333333
2026-06-13 00:20:00,4.0,5.966666666666667
2026-06-13 00:21:00,2.3333333333333335,5.583333333333333
2026-06-13 00:22:00,3.6666666666666665,5.816666666666666
2026-06-13 00:23:00,3.3333333333333335,5.266666666666667
2026-06-13 00:24:00,3.0,4.85
2026-06-13 00:25:00,4.333333333333333,5.133333333333334
2026-06-13 00:26:00,5.0,4.733333333333333
2026-06-13 00:27:00,4.333333333333333,5.0
2026-06-13 00:28:00,4.0,5.1
2026-06-13 00:29:00,2.6666666666666665,5.033333333333333
2026-06-13 00:30:00,4.333333333333333,5.116666666666666
2026-06-13 00:31:00,3.6666666666666665,5.033333333333333
2026-06-13 00:32:00,5.0,5.0
2026-06-13 00:33:00,2.3333333333333335,5.333333333333333
2026-06-13 00:34:00,4.333333333333333,4.866666666666666
2026-06-13 00:35:00,3.3333333333333335,4.55
2026-06-13 00:36:00,3.3333333333333335,4.7
2026-06-13 00:37:00,2.3333333333333335,4.533333333333333
2026-06-13 00:38:00,3.0,4.816666666666666
2026-06-13 00:39:00,1.6666666666666667,4.533333333333333
2026-06-13 00:40:00,3.0,4.566666666666666
2026-06-13 00:41:00,2.0,4.366666666666666
2026-06-13 00:42:00,1.0,4.666666666666667
2026-06-13 00:43:00,1.6666666666666667,4.4
2026-06-13 00:44:00,3.3333333333333335,5.266666666666667
2026-06-13 00:45:00,1.6666666666666667,4.3
2026-06-13 00:46:00,4.333333333333333,4.416666666666667
2026-06-13 00:47:00,1.3333333333333333,4.633333333333334
2026-06-13 00:48:00,2.3333333333333335,4.883333333333334
2026-06-13 00:49:00,3.3333333333333335,4.216666666666667
2026-06-13 00:50:00,3.6666666666666665,4.45
2026-06-13 00:51:00,2.0,4.55
2026-06-13 00:52:00,2.6666666666666665,5.133333333333334
2026-06-13 00:53:00,4.333333333333333,4.166666666666667
2026-06-13 00:54:00,3.0,4.466666666666667
2026-06-13 00:55:00,3.3333333333333335,4.416666666666667
2026-06-13 00:56:00,5.333333333333333,4.766666666666667
2026-06-13 00:57:00,9.0,4.75
2026-06-13 00:58:00,4.0,4.7
2026-06-13 00:59:00,4.666666666666667,4.816666666666666
2026-06-13 01:00:00,2.3333333333333335,5.05
2026-06-13 01:01:00,2.6666666666666665,4.6
2026-06-13 01:02:00,4.0,4.85
2026-06-13 01:03:00,5.666666666666667,5.866666666666666
2026-06-13 01:04:00,7.0,6.616666666666666
2026-06-13 01:05:00,5.333333333333333,7.95
2026-06-13 01:06:00,5.333333333333333,7.616666666666666
2026-06-13 01:07:00,3.6666666666666665,7.7
2026-06-13 01:08:00,3.6666666666666665,6.716666666666667
2026-06-13 01:09:00,2.0,6.133333333333334
2026-06-13 01:10:00,1.3333333333333333,6.433333333333334
2026-06-13 01:11:00,1.0,5.916666666666667
2026-06-13 01:12:00,3.0,5.45
2026-06-13 01:13:00,3.6666666666666665,6.0
2026-06-13 01:14:00,7.0,6.783333333333333
2026-06-13 01:15:00,7.0,8.116666666666667
2026-06-13 01:16:00,6.666666666666667,8.75
2026-06-13 01:17:00,5.0,8.616666666666667
2026-06-13 01:18:00,6.0,6.966666666666667
2026-06-13 01:19:00,2.3333333333333335,6.383333333333334
2026-06-13 01:20:00,4.333333333333333,5.816666666666666
2026-06-13 01:21:00,4.666666666666667,6.283333333333333
2026-06-13 01:22:00,2.0,5.466666666666667
2026-06-13 01:23:00,3.0,5.433333333333334
2026-06-13 01:24:00,4.666666666666667,4.7
2026-06-13 01:25:00,3.0,4.95
2026-06-13 01:26:00,5.666666666666667,4.85
2026-06-13 01:27:00,7.666666666666667,5.1
2026-06-13 01:28:00,3.0,5.266666666666667
2026-06-13 01:29:00,3.6666666666666665,5.65
2026-06-13 01:30:00,4.666666666666667,4.583333333333333
